name	indName	averagePayroll
abbeville county	Accommodation and food services	5466000
abbeville county	Administrative and support and waste management and remediation services	3438000
abbeville county	Agriculture, forestry, fishing and hunting	722000
abbeville county	Construction	6012000
abbeville county	Educational services	7519000
abbeville county	Finance and insurance	3037000
abbeville county	Health care and social assistance	19159000
abbeville county	Information	7041000
abbeville county	Manufacturing	84116000
abbeville county	Other services (except public administration)	4369000
abbeville county	Professional, scientific, and technical services	1277000
abbeville county	Real estate and rental and leasing	258000
abbeville county	Retail trade	8586000
abbeville county	Transportation and warehousing	980000
abbeville county	Wholesale trade	5361000
acadia parish	Accommodation and food services	17184000
acadia parish	Administrative and support and waste management and remediation services	21072000
acadia parish	Agriculture, forestry, fishing and hunting	1137000
acadia parish	Arts, entertainment, and recreation	932000
acadia parish	Construction	45635000
acadia parish	Educational services	5259000
acadia parish	Finance and insurance	17888000
acadia parish	Health care and social assistance	76412000
acadia parish	Information	3834000
acadia parish	Management of companies and enterprises	10673000
acadia parish	Manufacturing	46577000
acadia parish	Mining, quarrying, and oil and gas extraction	32511000
acadia parish	Other services (except public administration)	9751000
acadia parish	Professional, scientific, and technical services	12986000
acadia parish	Real estate and rental and leasing	20918000
acadia parish	Retail trade	60863000
acadia parish	Transportation and warehousing	18913000
acadia parish	Utilities	4295000
acadia parish	Wholesale trade	31297000
accomack county	Accommodation and food services	19757000
accomack county	Administrative and support and waste management and remediation services	10546000
accomack county	Agriculture, forestry, fishing and hunting	923000
accomack county	Arts, entertainment, and recreation	1925000
accomack county	Construction	11391000
accomack county	Educational services	778000
accomack county	Finance and insurance	11315000
accomack county	Health care and social assistance	39730000
accomack county	Information	4002000
accomack county	Manufacturing	107122000
accomack county	Other services (except public administration)	9279000
accomack county	Professional, scientific, and technical services	23553000
accomack county	Real estate and rental and leasing	2496000
accomack county	Retail trade	31145000
accomack county	Transportation and warehousing	3852000
accomack county	Utilities	7531000
accomack county	Wholesale trade	5922000
ada county	Accommodation and food services	424628000
ada county	Administrative and support and waste management and remediation services	515000000
ada county	Agriculture, forestry, fishing and hunting	899000
ada county	Arts, entertainment, and recreation	73401000
ada county	Construction	856197000
ada county	Educational services	93015000
ada county	Finance and insurance	725487000
ada county	Health care and social assistance	2072782000
ada county	Industries not classified	469000
ada county	Information	397653000
ada county	Management of companies and enterprises	571537000
ada county	Manufacturing	1454958000
ada county	Mining, quarrying, and oil and gas extraction	3665000
ada county	Other services (except public administration)	275078000
ada county	Professional, scientific, and technical services	973799000
ada county	Real estate and rental and leasing	177341000
ada county	Retail trade	822159000
ada county	Transportation and warehousing	318651000
ada county	Utilities	222034000
ada county	Wholesale trade	1048036000
adair county	Accommodation and food services	2412000
adair county	Accommodation and food services	3913000
adair county	Accommodation and food services	4962000
adair county	Accommodation and food services	16209000
adair county	Administrative and support and waste management and remediation services	688000
adair county	Administrative and support and waste management and remediation services	3171000
adair county	Administrative and support and waste management and remediation services	3592000
adair county	Administrative and support and waste management and remediation services	6756000
adair county	Arts, entertainment, and recreation	298000
adair county	Arts, entertainment, and recreation	1071000
adair county	Construction	2007000
adair county	Construction	5112000
adair county	Construction	7639000
adair county	Construction	8442000
adair county	Educational services	36397000
adair county	Finance and insurance	3849000
adair county	Finance and insurance	4278000
adair county	Finance and insurance	8826000
adair county	Finance and insurance	15120000
adair county	Health care and social assistance	9417000
adair county	Health care and social assistance	17777000
adair county	Health care and social assistance	18315000
adair county	Health care and social assistance	79831000
adair county	Industries not classified	132000
adair county	Information	164000
adair county	Information	623000
adair county	Information	1193000
adair county	Information	4894000
adair county	Management of companies and enterprises	3104000
adair county	Manufacturing	11529000
adair county	Manufacturing	15367000
adair county	Manufacturing	39418000
adair county	Manufacturing	43231000
adair county	Mining, quarrying, and oil and gas extraction	432000
adair county	Other services (except public administration)	965000
adair county	Other services (except public administration)	1931000
adair county	Other services (except public administration)	2646000
adair county	Other services (except public administration)	8253000
adair county	Professional, scientific, and technical services	1224000
adair county	Professional, scientific, and technical services	1837000
adair county	Professional, scientific, and technical services	2081000
adair county	Professional, scientific, and technical services	4511000
adair county	Real estate and rental and leasing	216000
adair county	Real estate and rental and leasing	294000
adair county	Real estate and rental and leasing	449000
adair county	Real estate and rental and leasing	2360000
adair county	Retail trade	4601000
adair county	Retail trade	10546000
adair county	Retail trade	21221000
adair county	Retail trade	33859000
adair county	Transportation and warehousing	2320000
adair county	Transportation and warehousing	4970000
adair county	Transportation and warehousing	5778000
adair county	Transportation and warehousing	6462000
adair county	Wholesale trade	2419000
adair county	Wholesale trade	2530000
adair county	Wholesale trade	4497000
adair county	Wholesale trade	5426000
adams county	Accommodation and food services	534000
adams county	Accommodation and food services	630000
adams county	Accommodation and food services	947000
adams county	Accommodation and food services	6519000
adams county	Accommodation and food services	6840000
adams county	Accommodation and food services	11542000
adams county	Accommodation and food services	18665000
adams county	Accommodation and food services	22281000
adams county	Accommodation and food services	24992000
adams county	Accommodation and food services	42834000
adams county	Accommodation and food services	71417000
adams county	Accommodation and food services	417299000
adams county	Administrative and support and waste management and remediation services	164000
adams county	Administrative and support and waste management and remediation services	403000
adams county	Administrative and support and waste management and remediation services	718000
adams county	Administrative and support and waste management and remediation services	1238000
adams county	Administrative and support and waste management and remediation services	2438000
adams county	Administrative and support and waste management and remediation services	7683000
adams county	Administrative and support and waste management and remediation services	12615000
adams county	Administrative and support and waste management and remediation services	22661000
adams county	Administrative and support and waste management and remediation services	27538000
adams county	Administrative and support and waste management and remediation services	29999000
adams county	Administrative and support and waste management and remediation services	447031000
adams county	Agriculture, forestry, fishing and hunting	270000
adams county	Agriculture, forestry, fishing and hunting	431000
adams county	Agriculture, forestry, fishing and hunting	630000
adams county	Agriculture, forestry, fishing and hunting	1018000
adams county	Agriculture, forestry, fishing and hunting	2040000
adams county	Agriculture, forestry, fishing and hunting	2824000
adams county	Agriculture, forestry, fishing and hunting	4041000
adams county	Agriculture, forestry, fishing and hunting	13340000
adams county	Arts, entertainment, and recreation	396000
adams county	Arts, entertainment, and recreation	405000
adams county	Arts, entertainment, and recreation	423000
adams county	Arts, entertainment, and recreation	705000
adams county	Arts, entertainment, and recreation	935000
adams county	Arts, entertainment, and recreation	2005000
adams county	Arts, entertainment, and recreation	6287000
adams county	Arts, entertainment, and recreation	6485000
adams county	Arts, entertainment, and recreation	7645000
adams county	Arts, entertainment, and recreation	37593000
adams county	Construction	548000
adams county	Construction	620000
adams county	Construction	1535000
adams county	Construction	3538000
adams county	Construction	6517000
adams county	Construction	8360000
adams county	Construction	12707000
adams county	Construction	19792000
adams county	Construction	39415000
adams county	Construction	62994000
adams county	Construction	90803000
adams county	Construction	1606910000
adams county	Educational services	629000
adams county	Educational services	1425000
adams county	Educational services	5338000
adams county	Educational services	11770000
adams county	Educational services	13831000
adams county	Educational services	57537000
adams county	Educational services	82286000
adams county	Finance and insurance	308000
adams county	Finance and insurance	903000
adams county	Finance and insurance	1543000
adams county	Finance and insurance	1858000
adams county	Finance and insurance	4123000
adams county	Finance and insurance	6749000
adams county	Finance and insurance	13225000
adams county	Finance and insurance	15452000
adams county	Finance and insurance	22827000
adams county	Finance and insurance	25783000
adams county	Finance and insurance	76450000
adams county	Finance and insurance	240949000
adams county	Health care and social assistance	1813000
adams county	Health care and social assistance	9321000
adams county	Health care and social assistance	11041000
adams county	Health care and social assistance	14025000
adams county	Health care and social assistance	36252000
adams county	Health care and social assistance	42255000
adams county	Health care and social assistance	54717000
adams county	Health care and social assistance	77957000
adams county	Health care and social assistance	135760000
adams county	Health care and social assistance	216887000
adams county	Health care and social assistance	354105000
adams county	Health care and social assistance	1414329000
adams county	Industries not classified	181000
adams county	Information	160000
adams county	Information	249000
adams county	Information	269000
adams county	Information	471000
adams county	Information	1406000
adams county	Information	4459000
adams county	Information	5834000
adams county	Information	7235000
adams county	Information	7903000
adams county	Information	20329000
adams county	Information	169576000
adams county	Management of companies and enterprises	1107000
adams county	Management of companies and enterprises	22917000
adams county	Management of companies and enterprises	74908000
adams county	Management of companies and enterprises	96006000
adams county	Manufacturing	4795000
adams county	Manufacturing	10151000
adams county	Manufacturing	27971000
adams county	Manufacturing	40701000
adams county	Manufacturing	59598000
adams county	Manufacturing	62366000
adams county	Manufacturing	130323000
adams county	Manufacturing	252421000
adams county	Manufacturing	290830000
adams county	Manufacturing	321466000
adams county	Manufacturing	766078000
adams county	Mining, quarrying, and oil and gas extraction	4714000
adams county	Mining, quarrying, and oil and gas extraction	11775000
adams county	Mining, quarrying, and oil and gas extraction	43522000
adams county	Mining, quarrying, and oil and gas extraction	156855000
adams county	Other services (except public administration)	253000
adams county	Other services (except public administration)	569000
adams county	Other services (except public administration)	608000
adams county	Other services (except public administration)	3384000
adams county	Other services (except public administration)	3658000
adams county	Other services (except public administration)	3940000
adams county	Other services (except public administration)	7914000
adams county	Other services (except public administration)	10361000
adams county	Other services (except public administration)	13906000
adams county	Other services (except public administration)	41289000
